Series_Title,Released_Year,Certificate,Genre,IMDB_Rating,Overview,Director,Star1,Star2,Star3,Star4,Keywords,soup
Witness for the Prosecution,1957,Family,crime  drama  mystery,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,billywilder,tyronepower,marlenedietrich,charleslaughton,elsalanchester, ,crime  drama  mystery billywilder tyronepower marlenedietrich charleslaughton elsalanchester  
Paths of Glory,1957,Adult,drama  war,8.4,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",stanleykubrick,kirkdouglas,ralphmeeker,adolphemenjou,georgemacready, ,drama  war stanleykubrick kirkdouglas ralphmeeker adolphemenjou georgemacready  
Rear Window,1954,Family,mystery  thriller,8.4,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,alfredhitchcock,jamesstewart,gracekelly,wendellcorey,thelmaritter, ,mystery  thriller alfredhitchcock jamesstewart gracekelly wendellcorey thelmaritter  
Sunset Blvd.,1950,Adult,drama  film-noir,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,billywilder,williamholden,gloriaswanson,erichvonstroheim,nancyolson, ,drama  film-noir billywilder williamholden gloriaswanson erichvonstroheim nancyolson  
The Great Dictator,1940,Adult,comedy  drama  war,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,charleschaplin,charleschaplin,paulettegoddard,jackoakie,reginaldgardiner, ,comedy  drama  war charleschaplin charleschaplin paulettegoddard jackoakie reginaldgardiner  
1917,2019,Adult,drama  thriller  war,8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",sammendes,dean-charleschapman,georgemackay,danielmays,colinfirth, ,drama  thriller  war sammendes dean-charleschapman georgemackay danielmays colinfirth  
Tumbbad,2018,Adult,drama  fantasy  horror,8.3,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,rahianilbarve,anandgandhi,adeshprasad,sohumshah,jyotimalshe, ,drama  fantasy  horror rahianilbarve anandgandhi adeshprasad sohumshah jyotimalshe  
Andhadhun,2018,Adult,crime  drama  music,8.3,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",sriramraghavan,ayushmannkhurrana,tabu,radhikaapte,anildhawan, ,crime  drama  music sriramraghavan ayushmannkhurrana tabu radhikaapte anildhawan  
Drishyam,2013,Family,crime  drama  thriller,8.3,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,jeethujoseph,mohanlal,meena,ashasharath,ansiba, ,crime  drama  thriller jeethujoseph mohanlal meena ashasharath ansiba  
Jagten,2012,Adult,drama,8.3,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",thomasvinterberg,madsmikkelsen,thomasbolarsen,annikawedderkopp,lassefogelstrøm, ,drama thomasvinterberg madsmikkelsen thomasbolarsen annikawedderkopp lassefogelstrøm  
Jodaeiye Nader az Simin,2011,Adult,drama,8.3,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,asgharfarhadi,paymanmaadi,leilahatami,sarehbayat,shahabhosseini, ,drama asgharfarhadi paymanmaadi leilahatami sarehbayat shahabhosseini  
Incendies,2010,Adult,drama  mystery  war,8.3,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,denisvilleneuve,lubnaazabal,mélissadésormeaux-poulin,maximgaudette,mustafakamel, ,drama  mystery  war denisvilleneuve lubnaazabal mélissadésormeaux-poulin maximgaudette mustafakamel  
